costCenter;description
17101101;Financials (US)
17101201;Purch & Store 1 (US)
17101202;Purch & Store 2 (US)
17101301;Manufacturing 1 (US)
17101302;Manufacturing 2 (US)
17101321;Services/Consltg(US)
17101401;QM (US)
17101501;R&D (US)
17101601;Marketing (US)
17101602;Sales (US)
17101701;Plant & Maint (US)
17101750;Build. & Maint (US)
17101751;HR Services-(US)
17101752;HR Recruitment-(US)
17101753;IT Services-(US)
17101801;Other Inc.&Exp (US)
17101901;Back Office-(US)
17101902;Csltg Unit A (US)
17101903;Csltg Unit B-(US)
17101904;Customer Dev-(US)
31101101;Financials (AR)
31101201;Purch & Store 1 (AR)
31101202;Purch & Store 2 (AR)
31101301;Manufacturing 1 (AR)
31101302;Manufacturing 2 (AR)
31101321;Services/Consltg(AR)
31101401;QM (AR)
31101501;R&D (AR)
31101601;Marketing (AR)
31101602;Sales (AR)
31101701;Plant & Maint (AR)
31101750;Build. & Maint (AR)
31101751;HR Services (AR)
31101752;HR Recruitment (AR)
31101753;IT Services (AR)
31101801;Other Inc.&Exp (AR)
31101901;Back Office (AR)
31101902;Csltg Unit A (AR)
31101903;Csltg Unit B (AR)
31101904;Customer Dev (AR)
10AA001;Sales (AR)
10AA002;Sales (AR)
10AA003;Sales (AR)
10AA004;Sales (AR)
