country_code;ID;name
AR;00143;Brubank SAU
AR;007;BANCO DE GALICIA Y BUENOS AIRES S.A.U.
AR;010;BANCO GALICIA
AR;011;BANCO DE LA NACION ARGENTINA
AR;014;BANCO DE LA PROVINCIA DE BUENOS AIRES
AR;015;INDUSTRIAL AND COMMERCIAL BANK OF CHINA
AR;016;CITIBANK N.A
AR;017;BBVA BANCO FRANCES S.A.
AR;019;CREDICOOP
AR;020;BANCO DE CORDOBA
AR;027;BANCO SUPERVIELLE S.A.
AR;028;BANCO MACRO
AR;029;BANCO DE LA CIUDAD DE BUENOS AIRES
AR;0315;Banco de Formosa
AR;0340;BANCO PATAGONIA
AR;044;BANCO HIPOTECARIO S.A.
AR;045;BANCO DE SAN JUAN S.A.
AR;072;BANCO SANTANDER RIO S.A.
AR;0720;SANTANDER RIO
AR;081;citibank
AR;083;BANCO DEL CHUBUT S.A.
AR;086;BANCO DE SANTA CRUZ S.A.
AR;093;BANCO DE LA PAMPA S.A.M.
AR;094;BANCO DE CORRIENTES
AR;097;BANCO DE LA PROVINCIA DE NEUQUEN S.A.
AR;129;BANCO DE GALICIA Y BUENOS AIRES
AR;138;BANCO NACION
AR;143;BRUBANK S.A.U.
AR;1470;BiBank SA
AR;150;HSBC BANK ARGENTINA S.A.
AR;165;JP MORGAN
AR;191;BANCO CREDICOOP COOPERATIVO LIMITADO
AR;198;BANCO DE VALORES
AR;247;BANCO ROELA
AR;259;BANCO ITAU ARGENTINA S.A.
AR;266;BNP PARIBAS
AR;285;BANCO MACRO S.A.
AR;299;BANCO COMAFI S.A.
AR;310;BANCO DEL SOL
AR;315;Banco Formosa
AR;319;BANCO CMF S.A.
AR;322;BANCO INDUSTRIAL S.A.
AR;330;NUEVO BANCO DE SANTA FE S.A.
AR;338;BANCO DE SERVICIOS Y TRANSACCIONES S.A.
AR;386;NUEVO BANCO DE ENTRE RIOS SA
AR;432;BANCO DE COMERCIO S.A.
AR;CITIUS33;CITIBANK N.A
AU;CTBAAU2SXXX;COMMONWEALTH BANK OF AUSTRALIA SYDNEY
CA;4;BMO BANK OF MONTREAL
CA;5;ROYAL BANK OF CANADA
CA;6;CANADIAN WESTERN BANK OF CANADA
CA;2;BANK OF NOVA SCOTIA
CA;3;Canadian Imperial Bank of Commerce
CO;BBOG;BANCO DE BOGOTA, MIAMI AGENCY
DK;LOBADK21XXX;LOLLANDS BANK A/S
EC;235;BANCO PICHINCHA, C.A.
ES;182;BANCO BILBAO VIZCAYA ARGENTARIA, S.A
ES;BSCHESMMXXX;BANCO SANTANDER S.A.
FR;26007689;BPN PARIBAS
GB;400515;hsbc bank
MT;BBPIPTPL;BANCO BPI S.A.
MX;12;BBVA BANCOMER, S.A.
MX;2;Banco Nacional de México, S.A
MX;14;BANCO SANTANDER SA
MX;2;BBVA BANCOMER
MX;21;HSBC Mexico, S.A.
MX;22;AV. PASEO DE LAS PALMAS
MX;30;BANCO DEL BAJIO S.A., INSTITUCION DE BANCA MULTIPLE
MX;36;Banco Inbursa, S.A.
MX;44;Scotiabank Inverlat, S.A.
MX;5;BANCO INVEX SA FIDUCIARIO
MX;58;Banco Regional de Monterrey, S.A
MX;62;BANCA AFIRME, S.A., INSTITUCIÓN DE BANCA MÚLTIPLE
MX;72;BANCO MERCANTIL DEL NORTE SA
MX;106;BANK OF AMERICA MÉXICO SA
MX;112;Banco Monex, S.A
MX;127;BANCO AZTECA, S.A.
MX;132;BANCO MULTIVA, S.A.
MX;133;BANCO ACTINVER SA INSTITUCIÓN DE BANCA MULTIPLE
MX;137;BANCOPPEL, S.A.
MX;155;INDUSTRIAL AND COMMERCIAL BANK OF CHINA MÉXICO, S.A.
MX;376;American Express Company Mexico SA de CV
MX;640;J.P. MORGAN CASA DE BOLSA, S.A.
MX;646;SISTEMA DE TRANSFERENCIAS Y PAGOS STP
MX;82;SANTANDER
MX;999;FONDO MEXICANO DEL PETRÓLEO
NL;INGBNL2A;ING bank
NO;1;Banco Sparebank de Noruega
US;4;HONGKONG AND SHANGHAI BANKING CORPORATION USA (HSBC)
US;11;HUNTINGTON NATIONAL BANK
US;21000018;THE BANK OF NEW YORK MELLON
US;21000021;Citibank NY
US;21000089;Citibank, N.A.
US;26002561;STANDARD CHARTERED BANK NY
US;26009593;BANK OF AMERICA N.A.
US;31100089;PNC BANK
US;41000124;Pnc Bank, Ohio
US;44;PlainsCapital Bank
US;1110000525;BANK OF AMERICA
US;121000248;Wells Fargo Bank, NA
US;145;Banco Base, S.A., Institución de Banca Múltiple
US;267084131;Key Biscayne
US;321081669;First Republic Bank
US;321270742;WELLS FARGO BANK NA (NEVADA)
US;400515;FIRST CARIBEAN INTERNATIONAL
US;CHASUS33;J P MORGAN
US;CNBFUS3M;CITY NATIONAL BANK OF FLORIDA
US;FMECUS33;FIRST MERCHANTS BANK
US;IBEAUS44;IBERIABANK
US;SVBKUS6S;Sillicon Valley Bank
US;VECI;Veritex Community Bank
UY;103;BANCO SANTANDER URUGUAY
UY;ITAUUYMM;Banco Itau Uruguay
