ID;description
AABP;Aluvional Alm. Bajada del Palo
ACAN;Cantera
ACBP;Vista Almacén Bajada de Palo
ACHA;AIKE-Altos de Guayacán
AFBN;AFBN srl
AGUA;AIKE-Altos de Guayacán
ALLI;Aluvional Long Lead Item
APLA;Planta de Lavado
APSE;Planta Secado
AROL;AIKE-Rolon Cué
AZEN;AIKE-Villa Zenaida
EDEP;Externo Deposito Materiales
EINS;Externo Planta Inspección
EPSE;Planta externa de secado de Arena
LLIS;LLIS
LOVL;Aleph Vicente Lopez
UAFE;Aguada Federal
UAGM;Aguila Mora
UBNO;Bandurria Norte
UBPA;Bajada del Palo Oeste 2
UBPO;Bajada del Palo Oeste
UCAN;Coirón Amargo Norte
VABN;Depósito Central Entre Lomas
VABP;Vista Almacén Bajada de Palo
VACA;Acambuco
VACE;Vista Almacén Cond. Especial
VACH;Acahual
VAFE;Depósito Central Entre Lomas
VAME;Vista Almacén Materiales Estratégicos
VBDP;Bajada del Palo
VCAF;Cafeto
VCAN;Coirón Amargo Norte
VCAR;Cargadero Charco Bayo
VCOM;Vista Oficina Ciudad de México
VCON;Convencional
VDEL;Depósito Central Entre Lomas
VDMD;DEPOSITO MEDANITO
VELO;Entre Lomas
VGEL;Gas Entre Lomas
VGZA;Gutierrez Zamora
VIUY;Vista Energy Uruguay
VLAC;Vista Lach Argentina
VMED;Medanito
VMHG;Miguel Hidalgo
VMON;Puerto Rosales 2
VMPT;Planta Medanito (25 de Mayo)
VOCM;Vista Oficina Ciudad de México
VORL;Vista Oficina Río Limay
VOTC;Planta OTASA Chile
VOVL;Vista Oficina Vicente Lopez
VPEL;Planta Entre Lomas
VRO2;Puerto Rosales 2
VROS;Puerto Rosales
VSAB;Vista Oficina Ciudad de México
VSUR;Sur Río Deseado
VTMI;Tampico Misantla
VVER;Vernet
VVGO;Vicente Guerrero
VVHE;Villahermosa
VVIC;Viche
VVMN;Planta Vista Vaca Muerta Norte
