ID;description;s4_code
Bs. As;Buenos Aires;01
CABA;Capital Federal;00
Cat;Catamarca;02
Chaco;Chaco;16
Chubut;Chubut;17
CBA;Córdoba;03
Ctes;Corrientes;04
E. Ríos;Entre Ríos;05
Form;Formosa;18
Jujuy;Jujuy;06
La Pampa;La Pampa;21
La Rioja;La Rioja;08
Mza;Mendoza;07
Mnes;Misiones;19
Nqn;Neuquén;20
R. Negro;Río Negro;22
Salta;Salta;10
S. Juan;San Juan;11
S. Luis;San Luis;12
St. Cruz;Santa Cruz;23
St. Fé;Santa Fé;12
Sgo. Estero;Santiago del Estero;13
TDF;Tierro del Fuego;24
TUC;Tucumán;14
E;Exterior;E
