ID;description
A;
A00;Gpo de compras MRP
A01;Rotantes
A03;Talent
A04;Aseg.  de flujo
A05;Planning
A08;Ing de Producción
A09;Des. Operativo
A10;Well Services
A11;Perforación
A14;Seguridad y Salud
A17;Visualización
A19;Proyectos
A20;Integridad
A21;RRHH
A22;Suply Chain
A23;Administración
A25;Tesorería
A27;Aplic.Funcionales
A28;Legales
A29;Construcciones
A31;Plantas y Energía
A32;PSM, WIM y MA
A35;IT
A38;Oficina BA
A39;Controlling
A41;Comunicaciones
A46;Contr. No Operadas
A49;Seguridad Corp NQN
A50;Seguridad Corp
A52;Servicios Grales
A55;Comercial Oil
A58;RRII
A59;AIKE
A60;Ciberseguridad
A61;Logística
A64;Terminación
A65;Emisiones
A66;Nuevos Negocios
A68;Operaciones Sur
A69;Compresión
A71;RRLL
A72;Oficina Limay
A76;Impuestos
A77;Sourcing
A78;AIKE-Forestal
A79;Seguridad Corp BA
A80;Operaciones Norte
A81;PMO e Innovación
A82;New Ventures
A85;Dig. y Data Analy.
A86;Sustentabilidad
A87;Comercial Gas
A90;OT, I&C
A91;Calidad y EO
A92;Compras
A93;Ing de Perforación
A94;Estudios
A95;Reservas
A96;Proyecto VM
A97;Supply C - Arena
A98;AIKE-Suelo
A99;Reporting
ATR;Gr. Traslados
BEK;Compras Bekeu
D01;Desvío A01
D04;Desvío A04
D08;Desvío A08
D09;Desvío A09
D10;Desvío A10
D11;Desvío A11
D14;Desvío A14
D17;Desvío D17
D19;Desvío A19
D20;Desvío A20
D22;Desvío A22
D27;Desvío A27
D29;Desvío A29
D31;Desvío A31
D32;Desvío A32
D35;Desvío A35
D49;Desvío A49
D52;Desvío A52
D60;Desvío A60
D61;Desvío A61
D62;Desvío A62
D64;Desvío A64
D65;Desvío A65
D68;Desvío A68
D69;Desvío D69
D77;Desvío A77
D78;Desvío A78
D79;Desvío A79
D80;Desvío A80
D81;Desvío A81
D85;Desvío A85
D90;Desvío A90
D91;Desvío A91
D92;Desvío A92
D93;Desvío A93
D94;Desvío A94
D95;Desvío A95
D96;Desvío A96
D97;Desvío A97
D98;Desvío A98
L07;Adm. Aluvional 7
L14;Adm. Aluvional 14
M01;Operaciones MX
M04;Social/Legal MX
M05;Adm. y Finanzas MX
P01;Desvío M01
P14;Desvío L14
U01;Admin. U01
U02;Admin. U02
