ID;description
1000000;Costeo del Proyecto (Clase5)
1000010;Elab MIA-P,p/activ desemp/const/mant/ab
1000011;Elab Estudio de Riesgo Amb,prev acc
1000020;Responsabilidad Legal de Seg. y Amb.
1000030;Viaje Cambio de diagrama c/4 días
1000040;Servicio básico. FIJO (Grúa+Hidrogr.)
3000000;MOVILIDAD POR KILOMETRO
3000001;HORA OPERATIVA PULLING
3000002;SIMA - SERVICIO BASE
3000003;HORA ESPERA CON PERSONAL PULLING
3000004;DTM HASTA 20 KM PULLING
3000005;SIMA - SERVICIO BASE ANEXO MANO DE OBRA
3000006;SERVICIOS TECNICOS
3000007;SIMA - SERVICIO BASE ANEXO BASICO
3000008;SERVICIO CONTROL PLAGAS
3000009;MATERIALES VARIOS
3000010;SIMA - OFICIAL DIURNO 50%
3000011;CAMION CON HIDROGRUA 12TN
3000012;COMEDOR FIJO MANO DE OBRA
3000013;CAMIÓN VOLCADOR 6 M3
3000014;SIMA - OFICIAL DIURNO 100%
3000015;MINICARGADORA
3000016;ANALISIS EN LABORATORIOS EXTERNOS
3000017;CAMIÓN REGADOR 30 M3
3000018;MOTONIVELADORA
3000019;SIMA - REMISSE NQN - AEL - NQN
3000020;PRUEBA DE ANCLAJES DRNADA NORMAL
3000021;CAMIÓN CON HIDRO 5TN
3000022;TARIFA HORARIA INCLEMENCIAS CLIMATICAS
3000023;SIMA - SERVICIO DE ELECTRICOS
3000024;SERVICIOS TRATAMIENTO EFLUENTE
3000025;MATERIALES Y PRODUCTOS ASOCIADOS
3000026;TRANSPORTE EN EXCESO 15 KM
3000027;SERVICIOS DE INFORMATICA
3000028;TARIFA FUERZA MAYOR PULLING
3000029;SIMA - CAPACITADORES
3000030;DESARME DE BOMBA PROFUNDIDAD API
3000031;EQUIPO CISTERNA 35M3 - DIA 24HS
3000032;HORA DE ESPERA PULLING
3000033;SERVICIO GENERACION ELECTRICA
3000034;EXCAVACIÓN MANUAL
3000035;SIMA - REMISSE CAT - AEL - CAT
3000036;TRANSPORTE EN EXCESO 20 KM
3000037;JORNADA ADICIONAL
3000038;ASISTENCIA TECNICA EN POZO
3000039;CARGO BASICO SAND PUMP
3000040;SIMA - PALA CARGADORA MEDIANA
3000041;PALA CARGADORA GRANDE
3000042;ALQUILER HERRAMIENTAS PETROLERAS
3000043;SIMA - RECORREDORES 100%
3000044;SIMA - RECORREDORES 50%
3000045;INSPECCION TECNICA EN YACIMIENTO
3000046;SIMA - CAMION REGADOR 8 M3
3000047;HONORARIOS PROFESIONALES
3000048;CAMION SEMIREMOLQUE CON HIDROGRUA 12 TN
3000049;CARGO ADICIONAL
3000050;SIMA - MOTONIVELADORA
